City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
3,Caravelas,BR,69.84,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
4,Rikitea,PF,73.13,clear sky,-23.1203,-134.9692,People ThankYou
9,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Algeciras,ES,71.58,broken clouds,36.1333,-5.4505,AC Hotel by Marriott Algeciras
19,Bubaque,GW,78.82,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
20,Emerald,AU,65.34,overcast clouds,-23.5333,148.1667,The Irish Village
23,Cervo,ES,65.97,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
24,Hithadhoo,MV,81.66,scattered clouds,-0.6,73.0833,Scoop Guest House
26,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
27,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
32,Aki,JP,85.95,scattered clouds,33.5,133.9,Seigetsu Ryokan
40,Mizdah,LY,75.69,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
43,Faanui,PF,79.32,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
48,San Patricio,US,87.89,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
50,Isangel,VU,86.11,scattered clouds,-19.55,169.2667,Tanna Lodge
53,Houma,US,84.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
54,Mahebourg,MU,68.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
56,Thompson,CA,66.36,few clouds,55.7435,-97.8558,Burntwood Hotel
57,Paraje Nuevo,MX,71.33,overcast clouds,18.8708,-96.8667,The Vergel Resort and Spa
61,Pontianak,ID,76.98,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
65,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,Le four à pain
66,Richards Bay,ZA,65.75,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
69,Svay Rieng,KH,78.22,light rain,11.0879,105.7993,Apsara guesthouse
70,Lagoa,PT,72.01,overcast clouds,39.05,-27.9833,Casa Das Faias
72,Jamestown,US,67.95,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
75,Kamaishi,JP,74.53,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
76,Flinders,AU,65.37,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
79,Cercal,PT,67.75,overcast clouds,37.806,-8.6715,Herdade Baia Baia
80,Guane,CU,81.63,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
81,Bambous Virieux,MU,68.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
84,Butaritari,KI,81.95,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
87,Hailey,US,86.88,smoke,43.5196,-114.3153,Wood River Inn & Suites
88,Furano,JP,67.5,overcast clouds,43.2818,142.4743,星人の宿・ペンション和田
90,Atuona,PF,77.04,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
91,Sungairaya,ID,78.49,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
93,Kikwit,CD,72.63,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
94,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
95,Llanes,ES,72.97,broken clouds,43.4198,-4.7549,Hotel La Paz
96,Mareeba,AU,79.45,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
97,Bengkulu,ID,75.61,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
101,Baghdad,IQ,78.71,clear sky,33.3406,44.4009,Baghdad Hotel
106,Diebougou,BF,73.4,light rain,10.9667,-3.25,Hotel Le Consulat
107,Wahpeton,US,71.92,clear sky,46.2652,-96.6059,Select Inn Breckenridge
108,Lompoc,US,82.81,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
110,Hilo,US,85.73,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
111,Puerto Ayora,EC,66.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
112,Namatanai,PG,84.24,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
114,Dunyapur,PK,86.43,clear sky,29.7995,71.7196,Ghulam Abbas House
117,Puqi,CN,78.8,scattered clouds,29.7167,113.8833,Ramada Plaza Chibi
121,Kavieng,PG,84.24,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
122,Camargo,MX,82.17,scattered clouds,27.6667,-105.1667,Hotel Santa Fe
126,Fortuna,US,71.92,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
127,Galle,LK,77.38,few clouds,6.0367,80.217,Amangalla
129,Aksu,CN,72.23,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
130,Salalah,OM,78.89,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
133,Samarai,PG,82.08,broken clouds,-10.6167,150.6667,Nuli Sapi
135,Zhuhai,CN,86.86,clear sky,22.2769,113.5678,珠海粤财假日酒店
140,Victoria,HK,86.97,clear sky,22.2855,114.1577,Mini Central
143,Nouadhibou,MR,74.28,clear sky,20.931,-17.0347,El Medina
144,Ponta Do Sol,PT,78.01,light rain,32.6667,-17.1,Hotel do Campo
145,Am Timan,TD,72.43,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
146,Gourcy,BF,77.36,few clouds,13.2167,-2.35,Auberge Gourcy
147,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
149,Kavaratti,IN,80.35,overcast clouds,10.5669,72.642,Green leaf
154,Mancio Lima,BR,74.82,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
155,Malindi,KE,74.3,broken clouds,-3.2175,40.1191,African House Resort
156,Quatre Cocos,MU,68.11,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
157,Gat,IL,74.08,clear sky,31.61,34.7642,OlusHome
158,Yeppoon,AU,71.38,scattered clouds,-23.1333,150.7333,Villa Mar Colina
159,Trinidad,BO,82.89,scattered clouds,-14.8333,-64.9,Hotel Piesta
160,Brownsville,US,87.78,few clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
161,Hirado,JP,77.99,overcast clouds,33.3597,129.5531,Samson Hotel
162,Langsa,ID,74.17,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
164,Fredericton,CA,72.43,clear sky,45.9454,-66.6656,"Crowne Plaza Fredericton-Lord Beaverbrook, an IHG Hotel"
