City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
0,Hobart,AU,-42.8794,147.3294,46.26,69,40,scattered clouds
1,Boende,CD,-0.2167,20.8667,68.43,99,83,broken clouds
2,Vaini,TO,-21.2,-175.2,80.76,74,20,few clouds
3,Caravelas,BR,-17.7125,-39.2481,69.84,77,8,clear sky
4,Rikitea,PF,-23.1203,-134.9692,73.13,73,3,clear sky
5,Port Alfred,ZA,-33.5906,26.891,56.17,92,99,light rain
6,Prince Rupert,CA,54.3161,-130.3201,62.69,70,0,clear sky
7,Minervino Murge,IT,41.0843,16.0784,64.24,69,20,few clouds
8,Castro,BR,-24.7911,-50.0119,54.82,98,98,overcast clouds
9,Kapaa,US,22.0752,-159.319,84.18,78,100,light rain
10,Mataura,NZ,-46.1927,168.8643,55.78,55,100,overcast clouds
11,Punta Arenas,CL,-53.15,-70.9167,41.11,70,40,scattered clouds
12,Haines Junction,CA,60.7522,-137.5108,57.15,41,65,broken clouds
13,Algeciras,ES,36.1333,-5.4505,71.58,86,78,broken clouds
14,Sarahan,IN,31.5167,77.8,56.98,87,3,clear sky
15,Bluff,NZ,-46.6,168.3333,52.84,67,100,overcast clouds
16,Barrow,US,71.2906,-156.7887,37.42,87,100,overcast clouds
17,Busselton,AU,-33.65,115.3333,61.7,84,64,broken clouds
18,Saskylakh,RU,71.9167,114.0833,33.78,80,90,overcast clouds
19,Bubaque,GW,11.2833,-15.8333,78.82,81,100,light rain
20,Emerald,AU,-23.5333,148.1667,65.34,70,100,overcast clouds
21,Ushuaia,AR,-54.8,-68.3,40.66,70,40,scattered clouds
22,Pangody,RU,65.85,74.4859,42.75,85,100,overcast clouds
23,Cervo,ES,43.6702,-7.4101,65.97,76,100,overcast clouds
24,Hithadhoo,MV,-0.6,73.0833,81.66,72,29,scattered clouds
25,Albany,US,42.6001,-73.9662,67.33,87,100,overcast clouds
26,Avarua,CK,-21.2078,-159.775,78.85,73,75,broken clouds
27,Port Hedland,AU,-20.3167,118.5667,71.65,78,0,clear sky
28,Vardo,NO,70.3705,31.1107,44.58,93,100,overcast clouds
29,Klaksvik,FO,62.2266,-6.589,47.32,91,76,broken clouds
30,Cherskiy,RU,68.75,161.3,43.97,75,97,overcast clouds
31,Saldanha,ZA,-33.0117,17.9442,46.45,73,1,clear sky
32,Aki,JP,33.5,133.9,85.95,67,49,scattered clouds
33,Qaanaaq,GL,77.484,-69.3632,37.13,98,100,overcast clouds
34,Chokurdakh,RU,70.6333,147.9167,40.32,73,100,overcast clouds
35,Toora-Khem,RU,52.4675,96.11,48.61,58,100,overcast clouds
36,Kruisfontein,ZA,-34.0033,24.7314,51.89,68,100,overcast clouds
37,Vredendal,ZA,-31.6683,18.5012,47.79,86,51,broken clouds
38,Bernissart,BE,50.4746,3.6496,59.45,96,56,mist
39,Dickinson,US,29.4608,-95.0513,91.49,65,20,few clouds
40,Mizdah,LY,31.4451,12.9801,75.69,59,4,clear sky
41,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,100,100,light intensity drizzle
