City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gua Musang,MY,2022-09-10 03:21:21,4.8823,101.9644,77.72,94,100,1.19
1,La Rioja,ES,2022-09-10 03:21:22,42.25,-2.5,49.78,78,14,3.74
2,Port Alfred,ZA,2022-09-10 03:21:22,-33.5906,26.891,58.17,97,4,1.01
3,Tasiilaq,GL,2022-09-10 03:21:23,65.6145,-37.6368,42.96,65,6,6.24
4,The Pas,CA,2022-09-10 03:21:23,53.8251,-101.2541,51.82,66,100,11.5
5,Namibe,AO,2022-09-10 03:21:24,-15.1961,12.1522,65.28,89,81,2.84
6,Caravelas,BR,2022-09-10 03:21:24,-17.7125,-39.2481,68.25,76,0,6.51
7,Richards Bay,ZA,2022-09-10 03:21:25,-28.783,32.0377,66.74,93,49,2.17
8,Palatka,US,2022-09-10 03:21:25,29.6486,-81.6376,76.96,99,98,3.06
9,Codrington,AU,2022-09-10 03:21:26,-38.2667,141.9667,51.94,67,94,16.55
10,Jamestown,US,2022-09-10 03:20:25,42.097,-79.2353,69.71,61,0,5.75
11,Ekibastuz,KZ,2022-09-10 03:21:26,51.6667,75.3667,61.84,27,100,6.8
12,Beloha,MG,2022-09-10 03:21:27,-25.1667,45.05,61.86,70,0,7.11
13,Faanui,PF,2022-09-10 03:21:27,-16.4833,-151.75,78.98,75,8,22.62
14,Ketchikan,US,2022-09-10 03:19:18,55.3422,-131.6461,58.98,88,40,3.44
15,Victoria Point,AU,2022-09-10 03:21:28,-27.5833,153.3,78.26,47,46,8.01
16,Mulchen,CL,2022-09-10 03:21:28,-37.7167,-72.2333,41.92,84,0,6.87
17,Provideniya,RU,2022-09-10 03:21:29,64.3833,-173.3,51.03,61,11,8.5
18,Atuona,PF,2022-09-10 03:21:30,-9.8,-139.0333,76.53,77,32,26.73
19,Arraial Do Cabo,BR,2022-09-10 03:21:30,-22.9661,-42.0278,69.8,84,0,28.07
20,Vieques,PR,2022-09-10 03:21:30,18.425,-65.8329,80.64,94,20,0.0
21,Paramonga,PE,2022-09-10 03:21:31,-10.6667,-77.8333,59.94,85,50,9.95
22,Vaini,TO,2022-09-10 03:21:31,-21.2,-175.2,78.96,83,75,6.91
23,Manokwari,ID,2022-09-10 03:21:32,-0.8667,134.0833,84.02,68,84,9.75
24,Thompson,CA,2022-09-10 03:21:32,55.7435,-97.8558,48.36,87,75,8.05
25,Rikitea,PF,2022-09-10 03:21:33,-23.1203,-134.9692,71.94,73,9,18.14
26,Cape Town,ZA,2022-09-10 03:19:54,-33.9258,18.4232,55.9,83,0,2.3
27,Albany,US,2022-09-10 03:20:40,42.6001,-73.9662,63.45,89,0,2.93
28,Saint-Philippe,RE,2022-09-10 03:21:33,-21.3585,55.7679,69.39,76,38,11.5
29,Hualmay,PE,2022-09-10 03:21:34,-11.0964,-77.6139,60.06,83,26,10.4
30,Altay,CN,2022-09-10 03:21:34,47.8667,88.1167,67.14,38,93,6.35
